0,1,2,3
954.916,580.458,627.326,334.136
974.893,580.458,627.326,334.136
976.387,580.458,627.326,334.136
977.287,580.458,627.326,410.411
980.165,580.458,627.326,410.411
984.228,580.458,627.326,410.411
984.228,580.458,627.326,410.411
984.228,624.342,627.326,410.411
984.228,624.342,627.326,410.411
984.773,624.342,627.326,410.411
984.787,624.342,627.326,410.411
984.787,624.342,627.326,410.411
989.301,624.342,627.326,410.411
989.725,624.342,627.326,410.411
990.466,624.342,627.326,410.411
990.668,717.208,627.326,410.411
990.668,717.208,627.326,410.411
991.239,717.208,627.326,410.411
991.239,717.208,627.326,410.411
991.375,717.208,627.326,410.411
992.194,717.208,627.326,410.411
992.194,717.208,627.326,410.411
992.194,717.413,627.326,410.411
992.194,717.413,627.326,410.411
992.23,717.413,627.326,410.411
992.23,717.413,627.326,446.536
992.23,717.413,627.326,446.536
992.464,717.413,627.326,446.536
992.464,717.413,627.326,446.536
992.464,761.771,627.326,446.536
992.464,761.771,627.326,446.536
992.464,761.771,627.326,446.536
992.464,761.771,627.326,446.536
992.464,761.771,627.326,446.536
992.464,761.771,627.326,446.536
992.464,761.771,627.326,446.536
992.464,761.771,627.326,446.536
992.464,761.771,627.326,446.536
992.464,761.771,627.326,455.812
992.464,761.771,627.326,455.812
992.464,761.771,627.326,455.812
992.604,761.771,627.326,623.267
992.604,761.771,627.326,623.267
992.604,761.771,627.326,623.267
992.604,761.771,627.326,623.267
992.604,761.771,627.326,623.267
994.914,761.771,627.326,623.267
995.487,761.771,627.326,623.267
995.773,761.771,627.326,623.267
995.773,761.771,627.326,623.267
996.102,761.771,627.326,623.267
996.102,761.771,627.326,623.267
996.102,761.771,627.326,623.267
996.102,761.771,627.326,623.267
996.102,761.771,627.326,623.267
996.284,761.771,627.326,623.267
998.899,761.771,627.326,623.267
998.899,761.771,627.326,623.267
998.899,761.771,627.326,623.267
998.899,761.771,627.326,623.267
998.899,761.771,627.326,623.267
998.916,761.771,627.326,623.267
998.916,761.771,627.326,623.267
998.916,761.771,627.326,623.267
998.916,761.771,627.326,623.267
998.916,761.771,627.326,623.267
998.916,761.771,627.326,623.267
998.916,761.771,627.326,623.267
998.916,761.771,627.326,623.267
998.942,761.771,627.326,623.267
998.942,761.771,627.326,623.267
998.942,761.771,627.326,623.267
998.942,761.771,627.326,623.267
998.942,761.771,627.326,623.267
998.942,761.771,627.326,623.267
998.942,761.771,627.326,623.267
998.942,761.771,627.326,623.267
999.128,761.771,627.326,623.267
999.128,761.771,627.326,623.267
999.128,761.771,627.326,623.267
999.128,761.771,627.326,623.267
999.128,761.771,627.326,623.267
999.128,761.771,627.326,623.267
999.182,761.771,627.326,623.267
999.182,761.771,627.326,623.267
999.182,761.771,627.326,623.267
999.182,761.771,627.326,623.267
999.182,761.771,627.326,623.267
999.192,761.771,627.326,623.267
999.192,761.771,772.122,623.267
999.192,761.771,772.122,623.267
999.192,761.771,772.122,623.267
999.192,761.771,772.122,623.267
999.192,761.771,772.122,623.267
999.192,761.771,772.122,623.267
999.192,761.771,772.122,623.267
999.192,761.771,772.122,623.267
999.192,761.771,772.122,623.267
999.192,761.771,772.122,623.267
999.192,761.771,772.122,623.267
