0,1,2
999.715,999.922,999.645
999.731,999.955,999.74
999.89,999.955,999.745
999.978,999.96,999.745
999.989,999.96,999.746
999.992,999.96,999.746
999.994,999.962,999.746
999.994,999.964,999.746
999.996,999.964,999.746
999.997,999.965,999.746
999.997,999.965,999.746
999.997,999.965,999.746
999.998,999.965,999.748
999.998,999.965,999.748
999.998,999.965,999.748
999.998,999.965,999.748
999.998,999.965,999.748
999.998,999.965,999.748
999.998,999.965,999.748
999.998,999.965,999.748
999.998,999.965,999.749
999.998,999.966,999.749
999.998,999.966,999.749
999.998,999.966,999.749
999.998,999.966,999.749
999.998,999.966,999.749
999.998,999.967,999.749
999.998,999.967,999.749
999.999,999.967,999.749
999.999,999.967,999.749
999.999,999.967,999.749
999.999,999.967,999.749
999.999,999.967,999.749
999.999,999.967,999.749
999.999,999.967,999.749
999.999,999.972,999.749
999.999,999.973,999.749
999.999,999.973,999.749
999.999,999.982,999.749
999.999,999.99,999.749
999.999,999.996,999.749
999.999,999.996,999.749
999.999,999.996,999.749
999.999,999.996,999.749
999.999,999.996,999.749
999.999,999.997,999.749
999.999,999.997,999.749
999.999,999.997,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.749
999.999,999.998,999.75
999.999,999.998,999.75
999.999,999.998,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
999.999,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
1000,999.999,999.75
